kampong,price,type,tenure,status,storeys,plot_area,floor_area,beds,baths,listing
Kg. Bengkurong,160000,Semi-Detached,Leasehold,New,NA,0.075,1300,3,2,"🏠💚 **Stunning Semi-Detached Home for Sale in BENGKURONG! 🌴**

Are you ready to find your dream home in the heart of Brunei? Look no further! We have an incredible semi-detached house available for sale, perfectly suited for families or investors alike.

Located in a prime kampong, this beautiful property boasts a spacious floor area of 1300 sq. ft., perfect for entertaining and relaxation. With 3 bedrooms and 2 bathrooms, there's ample space for all your loved ones to spread out.

This charming home is priced at BND 160,000 and comes with a plot area of 0.075 acres, offering plenty of room for outdoor activities and entertainment. As a leasehold property, you'll enjoy flexibility and affordability without sacrificing on quality.

Don't miss out on this amazing opportunity! Contact us today to schedule a viewing and make your dream home a reality 🎉"
Kg. Pangkalan Batu,250000,Detached,NA,NA,NA,0.085,2937,4,4,"🏠💕 **Seize Your Dream Home at Kg. Pangkalan Batu!**

Are you looking for a spacious and comfortable home in the heart of Kg. Pangkalan Batu? Look no further! We have an amazing 4 bedroom, 4 bathroom detached house available for sale.

This beautiful property boasts a total floor area of 2937 square feet, situated on a plot area of approximately 0.085 acres. The current price is BND 250,000, an unbeatable deal for those seeking a peaceful retreat in the midst of urban living.

Features:

- 4 spacious bedrooms
- 4 modern bathrooms
- Total floor area: 2937 sqft
- Plot area: 0.085 ha
- Prime location at Kg. Pangkalan Batu

Don't miss out on this incredible opportunity! Contact us today to schedule a viewing and make this house your dream home! 📲💬"
Kg. Kilanas,480000,Detached,NA,Under Construction,NA,0.15,3929,4,3,"""🌴 Your Dream Home Awaits in Kg. Kilanas! 🏠

Escape to a tranquil retreat in this beautiful detached property under construction, located in the heart of Kg. Kilanas! 💚

* Price: BND 480,000 (negotiable)
* Plot Area: 0.15 acres
* Floor Area: 3929 sqft
* Number of Bedrooms: 4
* Number of Bathrooms: 3

Enjoy a serene and peaceful living experience in this stunning property! 🌻 Don't miss out on the opportunity to own a piece of paradise in Brunei. Contact us today to schedule a viewing! 📲"""
Kg. Kilanas,230000,Terrace,Freehold,Under Construction,NA,0.04,2170,4,3,"🌴🏠 Exciting Opportunity in Kg. Kilanas!

Are you ready to own a slice of paradise? 🤩 We have an incredible Terrace house available for sale in Kg. Kilanas! 💥

This stunning 4 bedroom, 3 bathroom home boasts a spacious floor area of 2170 sqft and is situated on a beautiful plot of 0.04 acres.

As a Freehold property, you can enjoy complete ownership and control over your dream home. Currently under construction, this house is ready to be finished to perfection! 🏗️

Don't miss out on this amazing opportunity to make Kg. Kilanas your home sweet home! 💕

Price: BND 230,000

Contact us today to schedule a viewing! 📲👋"
Kg. Mentiri,348000,Detached,NA,Under Construction,NA,0.109,3005,5,4,"🏠 NEW LISTING ALERT! 🏠

Introducing a stunning Detached house in Kg. Mentiri, perfect for those looking for a spacious and cozy home!

Price: BND 348,000

Features:

• 5 bedrooms for the whole family to enjoy
• 4 bathrooms for ultimate comfort
• Floor area of 3005 sq ft for endless possibilities!
• Plot area of 0.109 acres (yes, you can have your own private garden!)
• Currently under construction, so get ready for a move-in-ready home!

Don't miss out on this amazing opportunity to own a piece of paradise in Brunei! Contact us today to schedule a viewing 📲"
Kg. Katok,359000,Detached,NA,NA,NA,0.1,2873,5,4,"🏠👋 🌴 Kg. Katok House for Sale!

Experience the perfect blend of comfort and serenity in this stunning 5-bedroom, 4-bathroom detached home! 🏡

Located in a serene kampong setting, this beautiful property boasts a spacious floor area of 2873 square feet on a plot area of 0.1 acres.

With its NA tenure status, you can enjoy freedom to plan your dream life without any constraints. The current status is also NA, giving you the flexibility to customize and enhance the property as per your preferences.

This fantastic property is priced at BND 359,000, making it an unbeatable value in the market. Don't miss out on this incredible opportunity to own a piece of paradise! 🌴

Contact us now to schedule a viewing! 📲👉"
Kg. Subok Kota Batu,250000,Semi-Detached,Freehold,New,2,0.067,2174,3,2,"🏠🌴 Dream Home in Kg. Subok Kota Batu! 🌴🏠

Are you looking for a perfect blend of comfort and convenience? Look no further! Our stunning Semi-Detached house in Kg. Subok Kota Batu is waiting for its new owners.

With a price tag of BND 250,000, this beautiful property offers:

- 3 spacious bedrooms with 2 bathrooms
- A spacious floor area of 2174 sqft
- Located on a plot area of 0.067 acres in a prime location
- Freehold tenure for long-term ownership
- New status, perfect for first-time buyers or investors!

Don't miss out on this amazing opportunity! Contact us today to schedule a viewing and make your dream home a reality 📲🏠"
Kg. Lumut,400000,NA,Freehold,New,NA,0.33,1989,4,3,"🌴🏠 Luxury Living in Kg. Lumut!

Are you ready to own a piece of paradise? 🌺 This stunning freehold property is now available for sale in Kg. Lumut, one of Brunei's most sought-after locations.

🏠 Type: NA (we can't reveal the full story yet!) 😉 But we can tell you it's a beauty!

🌳 Plot Area: 0.33 acres and 1989sqft of built up area - plenty of space to breathe and relax.

🚨 Status: New! This property has been recently renovated to perfection, with modern touches and sleek finishes throughout.

🛏️ Beds & Baths: 4 bedrooms and 3 bathrooms - the perfect setup for families or those who love hosting friends!

💸 Price: 400,000 BND (negotiable)

Don't miss out on this incredible opportunity! Contact us today to schedule a viewing. 📲"
Kg. Kilanas,310000,Detached,NA,New,NA,0.093,2600,4,3,"🌴🏠 Stunning Detached Home in Kg. Kilanas!

Looking for a peaceful retreat in Brunei? Look no further! This beautiful 4-bedroom, 3-bathroom detached home is now available for sale.

Located in the heart of Kg. Kilanas, this property boasts a spacious floor area of 2600 sqft and a plot area of 0.093 acres. With its serene atmosphere and natural surroundings, it's the perfect haven for those seeking a tranquil lifestyle.

The current price is BND310,000, making it an affordable option for first-time buyers or investors looking to expand their portfolio.

Don't miss out on this fantastic opportunity! Contact us today to schedule a viewing and make this stunning home yours. 📲🏠"
Kg. Subok Kota Batu,260000,NA,Freehold,New,NA,0.146,1800,3,2,"""✨️ Charming 3 Bedroom Home in Kg. Subok Kota Batu! 🏠

💰 Price: BND 260,000
🚪 Freehold Property
💡 New Development
🌳 0.146 plot area with a spacious floor area of 1800 sqft
🍽️ Perfect for small families or those looking for a cozy retreat!

This beautiful property is located in the heart of Kg. Subok Kota Batu, offering a tranquil and serene living experience. With three comfortable bedrooms and two bathrooms, it's perfect for a family of four or a couple looking to downsize.

Don't miss out on this fantastic opportunity! Contact us today to schedule a viewing and make this house your dream home!"""
